movieid,language
1934406,"Irish Gaelic"
1934787,English
1935106,Mandarin
1935417,English
1935619,Danish
1935619,English
1935619,German
1936069,English
1936394,English
1936478,English
1936800,English
1938005,French
1938142,English
1938743,English
1939369,English
1939525,English
1939666,English
1939666,French
1939754,English
1939762,English
1939775,English
1939900,English
1940096,English
1940121,English
1940174,English
1941011,German
1941011,Italian
1941011,Spanish
1941100,English
1941271,English
1941902,English
1942017,English
1942058,English
1942083,English
1942223,English
1942296,English
1942299,English
1942625,English
1942758,English
1942787,English
1942787,German
1942787,Japanese
1942828,English
1942898,English
1943470,English
1943586,English
1943718,English
1943961,English
1944457,English
1944510,English
1944862,English
1944905,English
1944905,Spanish
1945150,English
1945248,English
1945371,French
1945579,English
1945589,English
1945700,English
1945816,English
1945816,Spanish
1945855,English
1945855,Greek
1945855,Italian
1946023,English
1946023,Greek
1946107,English
1946327,English
1946379,English
1946397,English
1946463,English
1946562,Dutch
1946562,English
1946562,Latvian
1946595,English
1946833,English
1946963,English
1947355,English
1948277,English
1948340,"British Sign Language"
1948340,English
1948561,English
1949144,English
1949444,English
1949502,English
1949502,Latin
1949508,English
1949526,English
1949624,English
1950286,English
1950466,English
1950577,English
1950688,English
1950689,English
1950690,English
1950946,English
1951003,English
1951279,English
1951279,French
1951390,English
1951397,English
1951417,Spanish
1951428,English
1951931,English
1951984,English
1951988,English
1951989,English
1951990,English
1951991,English
1951993,English
1952001,English
1952054,English
1952201,English
1952386,English
1952391,English
1952490,English
1952676,English
1952847,English
1952847,Spanish
1952923,English
1953106,English
1953106,Russian
1953106,Turkish
1953354,English
1953362,English
1955153,English
1955153,Vietnamese
1955207,English
1955231,English
1955340,English
1955728,English
1955747,English
1955750,English
1957176,English
1957176,German
1957176,Italian
1957184,English
1957472,Persian
1958267,English
1959117,English
1959300,English
1960531,English
1960768,English
1960768,Esperanto
1961185,French
1962315,English
1963038,English
1963417,English
1963417,Spanish
1963479,English
1963479,Hebrew
1963756,French
1963794,English
1964069,English
1964073,English
1964074,English
1964200,English
1964209,English
1964242,English
1964339,English
1964467,English
1964503,English
1965214,English
1965236,English
1965261,English
1965261,French
1965516,English
1965632,English
1965850,English
1965850,Spanish
1966241,English
1966241,French
1966349,English
1966349,German
1966349,Spanish
1966580,Cantonese
1966580,English
1966580,Mandarin
1966583,Cantonese
1967074,English
1967290,English
1967379,English
1967389,English
1967389,Spanish
1967955,English
1968813,English
1969187,English
1969197,English
1969753,English
1969851,English
1969868,English
1970159,English
1970215,English
1970300,English
1970338,English
1970505,English
1970696,English
1970861,English
1971093,English
1971149,English
1971149,French
1971149,Japanese
1971149,Russian
1971149,Spanish
1971464,English
1971706,Japanese
1971707,English
1971707,Japanese
1971707,Russian
1971712,Japanese
1971929,English
1972108,English
1972108,German
1972287,English
1972287,Russian
1972287,Spanish
1972324,Chinese
1972324,English
1972324,Spanish
1972807,English
1972854,English
1972884,English
1973432,English
1973625,English
1973808,English
1973922,English
1973922,Italian
1974272,English
1974519,Croatian
1974519,English
1974519,Serbo-Croatian
1974583,English
1974724,English
1974984,French
1974984,Spanish
1975181,English
1975609,English
1975664,English
1975664,Russian
1976109,English
1976319,English
1976454,English
1976610,English
1976612,English
1976643,English
1976777,English
1977589,English
1977589,Spanish
1977592,English
1977857,English
1978263,English
1978309,English
1978312,English
1978312,French
1978415,English
1978415,French
1978778,English
1978782,English
1979111,Spanish
1979164,English
1979447,English
1979839,English
1979883,English
1980073,English
1980149,English
1980267,English
1980412,English
1981072,English
1981170,English
1981506,English
1982133,English
1982903,English
1982903,Italian
1982903,Japanese
1982903,Russian
1983455,English
1983617,Cantonese
1983617,English
1983859,English
1983859,Turkish
1984278,English
1984283,English
1984284,English
1984305,English
1984320,English
1984323,English
1984372,English
1984593,Italian
1984593,Turkish
1984763,English
1984785,English
1984792,English
1984793,English
1985138,Japanese
1985443,English
1985576,English
1985642,English
1985755,English
1985793,English
1985793,German
1986482,English
1986482,Russian
1986845,English
1986848,English
1987088,German
1987126,English
1987387,English
1987387,German
1987547,English
1987607,English
1988142,Italian
1988380,English
1988448,English
1988626,English
1988834,English
1988919,English
1989616,English
1989826,English
1990705,English
1990862,Chinese
1990862,English
1991064,English
1991115,English
1991115,Greek
1991269,English
1991544,English
1991646,English
1991707,English
1991951,English
1991951,Spanish
1991969,English
1992100,English
1992100,French
1992100,Vietnamese
1992217,English
1992217,Spanish
1992315,English
1992335,English
1992335,Vietnamese
1992344,English
1992374,English
1992459,English
1992459,Japanese
1992478,English
1992502,English
1992502,French
1992538,English
1992600,English
1992682,English
1992774,English
1992774,Welsh
1993553,English
1993850,English
1993913,English
1993913,Japanese
1994073,English
1994279,English
1994414,English
1994418,English
1994419,English
1994580,English
1995071,English
1995121,English
1995121,French
1995178,English
1995179,English
1996222,English
1996222,Spanish
1996223,English
1996223,French
1996227,English
1996275,English
1996275,Spanish
1996365,English
1996544,English
1996888,Hindi
1998427,English
1998849,English
1998864,Arabic
1998864,English
1998864,French
1999026,English
1999095,Danish
1999095,English
1999210,English
1999210,Spanish
1999241,English
1999308,English
1999581,English
1999623,English
1999628,English
1999634,English
1999634,French
1999634,"Scottish Gaelic"
1999986,English
2000130,English
2001271,English
2002121,French
2002121,Italian
2002500,English
2002500,French
2002500,Latin
2003554,English
2003869,Hungarian
2004240,English
2004435,English
2004444,English
2005166,English
2005202,English
2005242,English
2005280,Spanish
2005459,English
2005467,English
2005467,French
2005469,English
2005469,"Polish - (one scene)"
2005550,English
2005656,English
2005831,English
2006016,English
2006320,English
2006322,English
2006660,English
2006702,English
2006796,English
2006796,Hawaiian
2006907,Japanese
2006907,Mandarin
2006992,German
2007256,English
2007295,Dutch
2007305,English
2007465,English
2007522,English
2007673,English
2008297,English
2009281,English
2009507,English
2010080,English
2010339,English
2010351,English
2010417,English
2010432,English
2010439,English
2010442,English
2010567,English
2010591,English
2010811,English
2010812,English
2010861,English
2011220,English
2011220,Welsh
2011327,English
2011538,English
2011835,English
2012189,English
2012308,English
2012468,English
2012474,English
2012474,German
2012514,English
2013009,Cantonese
2013009,English
2013180,English
2013370,English
2013847,English
2014240,Cantonese
2014240,English
2014240,French
2014741,Mandarin
2014806,English
2014847,English
2014992,English
2015145,English
2015664,English
2016321,English
2016321,Swedish
2016990,English
2016990,French
2017211,English
2017357,English
2017615,English
2017696,English
2018026,English
2018109,English
2018119,English
2018220,English
2018491,English
2018562,English
2018570,English
2018634,English
2019104,English
2019186,English
2019186,"Spanish - (on-screen text)"
2019328,Italian
2019451,Italian
2020617,Italian
2020780,English
2020812,English
2020856,English
2021095,English
2021329,English
2021560,English
2021560,German
2023079,English
2023079,French
2023079,Italian
2023205,Danish
2023228,English
2023565,English
2023785,English
2024562,Italian
2024833,Italian
2025172,French
2025172,Italian
2025742,Italian
2026315,Italian
2026671,English
2027057,Italian
2027469,Italian
2027949,English
2028072,English
2028079,English
2028238,English
2029309,English
2029381,English
2029975,English
2030303,English
2030427,English
2030641,English
2030641,Italian
2030843,English
2031233,English
2031233,French
2031463,English
2032104,English
2032173,English
2032270,"American Sign Language"
2032270,English
2032626,English
2032743,English
2032839,English
2032879,English
2033355,English
2033355,French
2033355,German
2033854,English
2034091,English
2034166,English
2034409,English
2034464,English
2034464,German
2034464,Greek
2034473,English
2034473,Sinhala
2034705,French
2034705,Vietnamese
2035079,English
2035079,Italian
2035238,English
2035535,English
2037379,Norwegian
2037379,Swedish
2037451,English
2037451,French
2037451,Norwegian
2037451,Spanish
2037640,English
2037667,English
2037667,German
2038091,English
2038757,English
2038757,French
2038910,English
2039701,English
2039774,English
2040205,Italian
2040689,English
2040763,English
2040764,English
2040764,Russian
2040765,English
2041945,English
2042409,English
2042414,English
2042417,English
2042450,English
2042462,English
2042524,English
2042532,English
2042748,English
2043167,English
2043588,English
2043628,English
2044667,English
2044667,French
2044667,Russian
2044913,English
2044913,Spanish
2044952,English
2044952,French
2044952,German
2044952,Italian
2044952,Russian
2045231,English
2045245,English
2045245,Spanish
2045328,English
2045876,English
2046051,English
2046161,English
2046389,English
2046586,English
2046667,English
2046902,English
2047096,English
2047331,English
2047593,English
2047641,English
2048384,English
2048413,English
2048611,English
2048619,English
2048622,English
2048624,English
2049321,French
2049438,English
2049438,French
2049814,English
2049814,French
2049822,English
2050120,English
2050380,English
2050532,English
2050561,English
2051069,English
2052306,English
2052559,Mandarin
2052620,English
2053107,English
2053107,Latin
2053384,English
2053502,English
2053508,English
2054459,English
2054459,Japanese
2054549,Spanish
2054579,English
2054984,French
2056719,English
2056719,Latin
2056752,English
2056849,English
2056919,English
2057285,Cantonese
2057507,English
2057507,French
2057507,German
2057709,English
2057859,English
2057859,French
2057973,English
2058247,English
2058289,English
2058442,English
2058644,English
2058680,English
2058680,Spanish
2058733,English
2058950,English
2059661,English
2061440,Japanese
2062622,English
2062958,English
2062958,Italian
2064107,English
2064709,Dutch
2064709,English
2064709,French
2064709,German
2065922,German
2066931,Chechen
2066931,Georgian
2066931,Russian
2067104,English
2067595,English
2067764,English
2067764,Hebrew
2067764,Spanish
2068023,German
2068316,English
2068316,French
2068316,German
2069192,English
2069192,Italian
2069265,English
2069717,Persian
2070201,English
2070230,English
2070468,English
2070468,"Scottish Gaelic"
2070548,English
2070614,English
2070622,English
2070627,English
2070880,Spanish
2071313,English
2071566,English
2071578,English
2071800,English
2071800,French
2071915,English
2072443,English
2072508,English
2072510,English
2072519,English
2072728,English
2072728,Spanish
2072804,English
2073054,English
2073156,English
2073156,Japanese
2073938,English
2074015,English
2074067,English
2074067,Mandarin
2074106,English
2074187,English
2074632,Norwegian
2075122,English
2075324,English
2075452,English
2075554,English
2076744,Czech
2076744,Russian
2076744,Slovak
2077306,Japanese
2078652,None
2078857,English
2079361,English
2079616,English
2080444,English
2080719,English
2080719,Mandarin
2080719,Tibetan
2081397,English
2082589,Swedish
2082758,Japanese
2084764,French
2085383,French
2085434,French
2086876,French
2087502,Italian
2087502,Sicilian
2087502,Spanish
2087693,French
2088076,English
2088141,English
2088412,English
2091188,German
2091188,Italian
2091255,Cantonese
2091255,French
2091405,English
2091405,French
2092032,French
2092629,French
2092629,Polish
2093179,English
2093179,French
2093616,French
2093617,French
2093617,Greek
2093617,Italian
2093759,French
2093759,Spanish
2094455,English
2094455,French
2094455,German
2094455,Russian
2094683,None
2094747,French
2094854,English
2094854,Spanish
2095261,French
2095288,English
2095320,Galician
2095320,Latin
2095320,Spanish
2096283,Italian
2096794,French
2096850,English
2096850,French
