movieid,name
1693347,"Second Elm Street Venture - (copyright owner)"
1693347,"Smart Egg Pictures [gb] - (presents)"
1693348,"Fourth New Line-Heron Joint Venture, The [us]"
1693348,"Heron Communications - (presents)"
1693348,"New Line Cinema [us] - (presents)"
1693348,"Smart Egg Pictures [gb] - (presents)"
1693818,"Arpie Films"
1693861,"Kopelson Entertainment [us]"
1693861,"Warner Bros. [us] - (presents) (as Warner Bros.)"
1693880,"Malpaso Productions [us]"
1693880,"Warner Bros. [us]"
1694141,"Paramount Pictures [us] - (George Stevens' Production)"
1694448,"Channel Four Films [gb]"
1694448,"GreeneStreet Films [us]"
1694448,"Lawrence Bender Productions [us]"
1694448,"Miramax Films [us]"
1694448,"Pandora Cinema [us]"
1694647,"Hollywood Pictures [us]"
1694901,"Columbia Pictures Corporation [us]"
1695219,"Allied Filmmakers"
1695355,"Curzon Film Distributors [gb] - (in association with) (present)"
1695355,"Film Four International [gb] - (in association with) (present)"
1695355,"Goldcrest Films International [gb] - (present) (as Goldcrest)"
1695355,"Merchant Ivory Productions [us] - (as A Merchant Ivory Film)"
1695355,"National Film Finance Corporation (NFFC) [gb] - (in association with) (present)"
1696148,"British Broadcasting Corporation (BBC) [gb]"
1696148,"Mutual Film Company [us]"
1696148,"Paramount Pictures [us]"
1696148,"Savoy Pictures [us] - (in association with)"
1696148,"Tele München Fernseh Produktionsgesellschaft (TMG) [de]"
1696148,"Toho Company [jp]"
1696148,"Towa Video [us]"
1696148,"Union Générale Cinématographique (UGC) [fr]"
1696165,"Touchstone Pictures [us]"
1696168,"Bubble Factory, The [us] - (presents)"
1696168,"Sheinberg Productions - (as Sheinberg)"
1696168,"Universal Pictures [us] - (presents)"
1696396,"Paramount Pictures [us]"
1696396,"Rysher Entertainment [us]"
1696473,"British Screen Productions [gb] - (in association with) (as British Screen)"
1696473,"Capitol Films [gb] - (presents)"
1696473,"Merchant Ivory Productions [us]"
1696496,Caldix
1696496,"Columbia Pictures Corporation [us]"
1696789,"Selznick International Pictures [us]"
1697037,"Charles K. Feldman Group [us] - (as A Charles K. Feldman Group Production) (An Elia Kazan Production)"
1697037,"Warner Bros. [us]"
1697674,"Jackson/McHenry Company,The [us]"
1697674,"Savoy Pictures [us]"
1697674,"You Go Boy! Productions"
1697690,"Beacon Communications [us] - (in association with) (copyright owners)"
1697690,"Polygram Filmed Entertainment [us] - (copyright owners)"
1697690,"Prairie Films"
1697690,"Propaganda Films [us] - (in association with)"
1697690,"Touchstone Pictures [us] - (presents)"
1697690,"Via Rosa Productions [us] - (as Via Rosa)"
1697774,"Neapel Film [ch]"
1697774,"Ö-Filmproduktion [de]"
1697774,"Zero Film GmbH [de]"
1697856,"Regency Enterprises [us]"
1697856,"Warner Bros. [us]"
1698492,"Ladd Company, The [us]"
1698492,"Paramount Pictures [us]"
1698547,"Montage Creations - (presents)"
1698667,"Danjaq [gb]"
1698667,"Eon Productions [gb]"
1698667,"Metro-Goldwyn-Mayer (MGM) [us]"
1698667,"United Artists [us]"
1698944,"Twentieth Century Fox Film Corporation [us] - (as Twentieth Century Fox) (presents)"
1698944,"Zucker Brothers Productions [us] - (producer) (as Zucker Brothers)"
1698960,"Lewis Milestone Productions [us]"
1698972,"Groucho Film Partnership - (in association with)"
1698972,"Miramax Films [us] - (presents) (A film by: Tony Goldwyn)"
1698972,"Punch 21 Productions - (as A Punch 21 Production)"
1698972,"Village Roadshow Pictures [us] - (in association with)"
1699546,"Charles Chaplin Productions [us]"
1699546,Regent
1699876,"Allarts Enterprises"
1699876,"Artificial Eye [gb]"
1699876,"British Film Institute (BFI) [gb]"
1699876,"Film Four International [gb]"
1699876,"Vrijzinnig Protestantse Radio Omroep (VPRO) [nl]"
1703410,"Bórd Scannán na hÉireann [ie]"
1703410,"British Broadcasting Corporation (BBC) [gb]"
1703410,"Venus Productions [gb]"
1703469,"Delphi V Productions [us]"
1703469,"TriStar Pictures [us] - (presents)"
1703588,"New Line Cinema [us]"
1703679,"Canal+ España [es]"
1703679,"Las Producciones del Escorpión S.L. [es]"
1703679,"Les Films Alain Sarde [fr]"
1703679,"Lucky Red [it]"
1703679,"Sociedad General de Televisión (Sogetel) [es]"
1703907,"Castle Rock Entertainment [us] - (presents)"
1703907,"Malpaso Productions [us]"
1704569,"Morgan Creek Productions [us]"
1704571,"Morgan Creek Productions [us]"
1704571,"O Entertainment [us]"
1704577,"Paramount Pictures [us]"
1704645,"Aces Eagles Productions [us]"
1704645,"Carolco Pictures [us]"
1704645,"Ron Samuels Entertainment [us]"
1704645,"Seven Arts Productions [gb]"
1705196,"Sony New Technologies"
1705417,"Lorimar Film Entertainment [us]"
1705417,"Silver Pictures [us]"
1706079,"Paramount Pictures [us] - (presents)"
1706140,"Miramax Films [us] - (in association with)"
1706140,"Outlaw Productions (I) [us]"
1706140,"Warner Bros. [us] - (presents)"
1706887,"Filmwerks [us]"
1706887,"Largo Entertainment [us]"
1706887,"Toga Productions"
1707277,"Silver Screen Partners III [us] - (in association with)"
1707277,"Touchstone Pictures [us] - (presents)"
1707941,"JVC Entertainment Networks [jp]"
1707941,"Kingsgate Productions"
1707941,"Largo Entertainment [us]"
1708982,"Elysian Dreams"
1708982,"Moonstone Entertainment [us]"
1708982,"Sandcastle 5 Productions [us]"
1709238,"Columbia Pictures Corporation [us] - (as Columbia Pictures) (presents)"
1709238,"New Visions Pictures"
1709892,"Hell's Kitchen Films"
1709892,"October Films [us]"
1709901,"Columbia Pictures Corporation [us] - (as Columbia Pictures) (presents)"
1709901,"Delphi IV Productions [us]"
1710609,"Argos Films [fr]"
1710609,"Oshima Productions [jp]"
1710622,"Argos Films [fr]"
1710622,"Oshima Productions [jp]"
1710622,"Shibata Organisation [jp]"
1710673,"Central Motion Pictures Corporation [tw]"
1710994,"Bundesministerium des Inneren (BMI) [de] - (with the support of)"
1710994,"Filmboard Berlin-Brandenburg (FBB) [de] - (with the support of)"
1710994,"FilmFernsehFonds Bayern [de] - (with the support of)"
1710994,"Filmförderung Hamburg [de] - (with the support of)"
1710994,"Filmförderungsanstalt (FFA) [de] - (with the support of)"
1710994,"Filmstiftung Nordrhein-Westfalen [de] - (with the support of)"
1710994,"Max Farberbock Film [de] - (in co-production with)"
1710994,"Senator Film Produktion [de]"
1711133,"Carolco Pictures [us]"
1711133,"IndieProd Company Productions [us]"
1711143,Equicap
1711143,"Keystone Pictures [ca] - (in association with)"
1711143,"Walt Disney Pictures [us] - (presents)"
1711143,"Warner Bros. [gb] - (presents)"
1711145,"Alliance Atlantis Communications [ca]"
1711145,"Canadian Film or Video Production Tax Credit (CPTC) [ca]"
1711145,"Canadian Government [ca]"
1711145,"Dimension Films [us] - (in association with)"
1711145,"Golden Receiver"
1711145,"Keystone Pictures [ca] - (presents)"
1711175,"Beacon Communications [us] - (as Beacon Pictures) (presents)"
1711175,"Columbia Pictures Corporation [us] - (as Columbia Pictures) (presents)"
1711175,"Radiant Productions [us] - (as Radiant)"
1711356,"Island World [us]"
1711356,"Robert Simonds Productions [us]"
1711356,"Twentieth Century Fox Film Corporation [us] - (presents)"
1711383,"Paramount Pictures [us] - (presents)"
1711384,"Paramount Pictures [us]"
1711393,"Universal Pictures [us]"
1711395,"Ross Hunter Productions [us] - (as A Ross Hunter Production) (as Ross Hunter Productions, Inc.)"
1711395,"Universal Pictures [us] - (presents) (as Universal)"
1711398,"Universal Pictures [us]"
1712152,"Akira Committee Company Ltd."
1712152,"Bandai [jp]"
1712152,"Kodansha [jp]"
1712152,"Mainichi Broadcasting System (MBS) [jp]"
1712152,"Sumitomo Corporation [jp]"
1712152,"TMS Entertainment [jp] - (presents)"
1712152,"Toho Company [jp]"
1712152,"Tokyo Movie Shinsha (TMS) [jp]"
1713183,"Silver Screen Partners IV [us] - (uncredited)"
1713183,"Walt Disney Feature Animation [us] - (uncredited)"
1713183,"Walt Disney Pictures [us] - (presents)"
1713499,"Castle Rock Entertainment [us] - (presents)"
1713499,"Columbia Pictures Corporation [us]"
1713499,"Fuchs/Burg - (producer)"
1713755,"Albino Alligator Productions [us]"
1713755,"Miramax Films [us]"
1713755,"Motion Picture Corporation of America (MPCA) [us]"
1713755,"Union Générale Cinématographique (UGC) [fr]"
1714481,"Walter Wanger Productions [us]"
1714991,"Canal+ [fr] - (participation)"
1714991,"France 2 Cinéma [fr] - (co-production)"
1714991,"France 3 Cinéma [fr] - (co-production)"
1714991,"Les Films Alain Sarde [fr] - (co-production)"
1714991,"Studio Image 4 [fr] - (participation)"
1714991,"Vértigo Films [es] - (co-production)"
1715025,"Walt Disney Productions [us]"
1715186,"Brandywine Productions [us]"
1715186,"Twentieth Century-Fox Productions [gb]"
1715253,"Falcon Films [us]"
1715288,"American Entertainment Partners II L.P."
1715288,"Twentieth Century Fox Film Corporation [us]"
1715380,"Brandywine Productions [us]"
1715380,"Twentieth Century Fox Film Corporation [us]"
1715404,"Brandywine Productions [us]"
1715404,"SLM Production Group [us]"
1715404,"Twentieth Century Fox Film Corporation [us]"
1715607,"Film Andes S.A. [ar]"
1715607,"Kennedy/Marshall Company, The [us] - (as Kennedy/Marshall)"
1715607,"Paramount Pictures [us]"
1715607,"Touchstone Pictures [us]"
1715793,"Twentieth Century Fox Film Corporation [us] - (produced by) (as Twentieth Century-Fox Film Corporation)"
1716019,"Goldcrest Films International [gb]"
1716019,"Sullivan Bluth Studios [ie]"
1716020,"Metro-Goldwyn-Mayer (MGM) [us]"
1716411,"Baldini Pictures"
1716411,"Medusa Pictures"
1716411,"Slam Pictures"
1716452,"Universal Pictures [us]"
1716615,"Columbia Pictures Corporation [us]"
1716615,"Twentieth Century Fox Film Corporation [us]"
1717077,"Columbia Pictures Corporation [us] - (presents)"
1717117,"Mutual Films International"
1717117,"Newmarket Capital Group [us]"
1717117,"Scanbox Entertainment [us]"
1717117,"Screenland Pictures"
1717144,"American Playhouse [us]"
1717144,"Complex [us]"
1717455,"Golan-Globus Productions [il]"
1717910,"Alligator Inc."
1718318,"Columbia Pictures [us]"
1718318,"DreamWorks SKG [us] - (as Dreamworks Pictures)"
1718318,"Vinyl Films [us]"
1718342,"DiNovi Pictures [us]"
1718342,"Turner Pictures (I) [us]"
1718968,"Athos Films [fr]"
1718968,"Chaumiane [fr]"
1718968,"Filmstudio [it] - (co-production)"
1719502,"Columbia Pictures Corporation [us] - (presents)"
1719614,"Seymour Hicks Productions"
1720040,"The Saul Zaentz Company [us] - (presents)"
1720443,"American Playhouse [us]"
1720443,"Channel Four Films [gb]"
1720443,"La Sept Cinéma [fr]"
1720443,"True Fiction Pictures [us]"
1720443,"Union Générale Cinématographique (UGC) [fr]"
1720443,"Zenith Entertainment [gb]"
1721568,"DreamWorks SKG [us]"
1721568,"Jinks/Cohen Company [us]"
1721607,"Capitol Films [gb]"
1721607,"Channel Four Films [gb]"
1721607,"Prairie Oyster Productions"
1721607,"Punch Productions [us]"
1721607,"Samuel Goldwyn Company, The [us]"
1721750,"Cabin Creek"
1721750,"Catholic Communication Campaign [us] - (in cooperation with)"
1721750,"Channel Four Films [gb] - (in association with) (as Channel 4)"
1721864,"WW Production [us]"
1721888,"Paramount Pictures [us] - (presents)"
1721919,"Lucasfilm [us] - (as A Lucasfilm Ltd / Coppola Co. Production)"
1721919,"The Coppola Company [us] - (as A Lucasfilm Ltd / Coppola Co. Production)"
1721919,"Universal Pictures [us] - (presents) (as Universal® An MCA Company)"
1721967,"New Line Cinema [us]"
1721967,"Savoy Pictures [us]"
1721967,"Turman-Morrissey Company, The [us]"
1722098,"Bluemark Productions [us]"
1722098,"C-Hundred Film Corporation [us]"
1722098,"Civilian Pictures [us]"
1722164,"Newmarket Capital Group [us]"
1722164,"Summit Entertainment [us]"
1722164,"Universal Pictures [us] - (presents)"
1722164,"Zide-Perry Productions [us]"
1722174,"Underworld Entertainment"
1722181,"Aspen Productions (I) [us] - (for)"
1722181,"Bakshi Productions - (produced by)"
1722181,"Columbia Pictures Corporation [us]"
1722181,"Polyc International BV"
1722198,"Am Psycho Productions [us]"
1722198,"Edward R. Pressman Film [us]"
1722198,"Lions Gate Films [us]"
1722198,"Muse Productions [us]"
1722198,"P.P.S. Films"
1722198,"Quadra Entertainment [us]"
1722198,"Universal Pictures [us]"
1722327,"Canned Pictures Inc."
1722327,"Harmony Gold [us]"
1722395,"M6 Films [fr]"
1722395,"TPS Cinéma [fr]"
1722395,"Vertigo [fr]"
1722617,"Canal+ España [es]"
1722617,"Departament de Cultura de la Generalitat de Catalunya [es]"
1722617,"Els Films de la Rambla S.A. [es]"
1722617,"Televisió de Catalunya (TV3) [es]"
1722617,"Televisión Española (TVE) [es]"
1722761,"DreamWorks SKG [us] - (presents)"
1722761,"Home Box Office (HBO) [us] - (in association with)"
1722776,"De Laurentiis Entertainment Group (DEG) [us]"
1722777,"Dino De Laurentiis Company [us]"
1722777,"Media Transactions"
1723002,"Arts Council of England [gb]"
1723002,"British Broadcasting Corporation (BBC) [gb]"
1723002,"British Screen Productions [gb]"
1723002,"Capitol Films [gb]"
1723002,"Kudos Productions Ltd. [gb]"
1723002,"Yorkshire Media Production Agency (YMPA) [gb]"
1723532,"Castle Rock Entertainment [us]"
1723532,"Columbia Pictures Corporation [us]"
1723532,"New Line Cinema [us]"
1724000,"Jerry Wald Productions [us]"
1724000,"Twentieth Century Fox Film Corporation [us]"
1724037,"Cinergi Pictures Entertainment [us]"
1724037,"Hollywood Pictures [us]"
1724179,"Amblin Entertainment [us]"
1724179,"Sullivan Studios [us]"
1724179,"U-Drive Productions"
1724179,"Universal Pictures [us]"
1724180,"Amblimation [us]"
1724180,"Amblin Entertainment [us]"
1724180,"Universal Pictures [us]"
1724190,"Lyncanthrope Films - (production) (as Lyncanthrope Films Limited)"
1724190,"PolyGram Filmed Entertainment [gb] - (presents) (as PolyGram Pictures)"
1724193,"Avrora Media [de] - (in co-operation with)"
1724193,"Cometstone Pictures - (in association with)"
1724193,"Cometstone Productions"
1724193,"Delux Productions [lu] - (in co-operation with)"
1724193,"Hollywood Pictures [us] - (presents)"
1724193,"J&M Entertainment [gb] - (in association with)"
1724193,"Président Films [fr] - (in co-operation with)"
1724193,"Propaganda Films [us] - (in association with)"
1724193,"Stonewood Communications [nl]"
1724201,"Loew's [us] - (produced by) (as Loew's Incorporated)"
1724413,"British Broadcasting Corporation (BBC) [gb]"
1724413,"British Screen Productions"
1724413,"Portman Productions [gb]"
1724413,"Wolfhound Productions"
1724880,"Arts Council of England [gb] - (presents) (in assocation with) (as The Arts Council of England)"
1724880,"Canal+ [fr]"
1724880,"Fragile Films [gb]"
1724880,"Icon Entertainment International [us] - (presents)"
1724880,"Icon Productions [us] - (in association with) (as Icon Pictures)"
1724880,"Miramax Films [us] - (in association with)"
1724880,"Pathé Pictures International [gb] - (presents) (as Pathé Pictures)"
1725774,"Cinema Line Film Corporation"
1725774,"Columbia Pictures Corporation [us]"
1725774,"Iguana Producciones [pe]"
1725774,"Middle Fork Productions [us]"
1725774,"Skylight Cinema Foto Art [br]"
1725774,"St. Tropez Films"
1726761,"Baltimore Pictures [us]"
1726761,"Face Productions [us]"
1726761,"NPV Entertainment [us]"
1726761,"Spring Creek Productions [us]"
1726761,"Tribeca Productions [us]"
1726761,"Village Roadshow Pictures [us]"
1726934,"Big Gun Project, The [us]"
1726934,"Fox Animation Studios [us]"
1726934,"Fox Family Films [us]"
1726934,"Little Wolf Entertainment [us]"
1726934,"Twentieth Century Fox Film Corporation [us] - (as Twentieth Century Fox) (presents)"
1727017,"Claussen & Wöbke Filmproduktion GmbH [de]"
1727017,"Deutsche Columbia TriStar Filmproduktion [de]"
1727082,"Carlyle Productions [us] - (An Otto Preminger Film)"
1727237,"Loew's [us] - (produced by) (as Loew's Incorporated)"
1727237,"Metro-Goldwyn-Mayer (MGM) [us] - (presents)"
1727348,"Crow Productions"
1727348,"Vestron Pictures [us]"
1727413,"Columbia Pictures Corporation [us]"
1727413,"Kettledrum / Lownes Productions [gb]"
1727413,"Kettledrum Films [gb] - (as A Kettledrum Production)"
1727413,"Playboy Productions [us] - (presents)"
1727413,"Python (Monty) Pictures [gb] - (as A Python Productions Film)"
1727885,"Kushner-Locke Company, The [us] - (as Kushner-Locke)"
1727885,"Paramount Pictures [us] - (presents)"
1728742,"Astral Films [ca]"
1728742,"Australian Film Commission, The [au]"
1728742,"Australian Film Finance Corporation (AFFC) [au]"
1728742,"Beyond Films [gb]"
1728742,"Meridian Films [us]"
1728742,Stamen
1728802,"Carolco International N.V."
1728802,Union
1728802,"Winkast Film Productions [gb]"
1728889,"John Wayne Productions [us] - (as A John Wayne Production)"
1728948,"Charles R. Rogers Productions [us] - (as Premier Productions)"
1729005,"Tree Farm Productions"
1729026,"David Brown Productions [us]"
1729026,"Dirty Hands Productions [us]"
1729026,"Scott Rudin Productions [us]"
1729240,"Playhouse International Pictures [us] - (presents)"
1729240,"Samuel Goldwyn Company, The [us] - (in association with)"
1729260,"Caravan Pictures [us]"
1729260,"Walt Disney Pictures [us]"
1729569,"Atlas Entertainment [us]"
1729569,"British Broadcasting Corporation (BBC) [gb]"
1729569,"New Line Cinema [us]"
1729569,"Quality Entertainment"
1729569,"Syalis DA"
1729569,"Tele München Fernseh Produktionsgesellschaft (TMG) [de]"
1729569,"Television Française"
1729569,"Turner Pictures (I) [us]"
1729579,"Coop. Cinematográfica Constelación [es]"
1729818,"Oregon Film Factory [us]"
1729818,"Stage III Productions [us]"
1729818,"Universal Pictures [us]"
1730457,"Hepworth [gb]"
1730566,"Icon Entertainment International [us]"
1730566,"Studio Trite [ru]"
1730566,"Warner Bros. [us]"
1730640,"Fox 2000 Pictures [us]"
1730640,"Lawrence Bender Productions [us]"
1730836,"Anne Frank House [nl] - (in co-operation with)"
1730836,"British Broadcasting Corporation (BBC) [gb] - (in association with)"
1730836,"Disney Channel [us] - (in association with)"
1730836,"The Jon Blair Film Company"
1730975,"Rollins-Joffe Productions [us] - (as A Jack Rollins-Charles H. Joffe Production)"
1731412,"Chinese Bookie Pictures"
1731505,"Angel Productions [gb]"
1731582,"Kouf/Bigelow Productions [us]"
1731582,"Stakeout II Productions [ca] - (created by)"
1731582,"Touchstone Pictures [us] - (presents)"
1732344,"Bard Entertainments [gb] - (presents)"
1732344,"Bergen - (presents)"
1732344,"Co-Productiefonds Binnenlandse Omroep [nl] - (support)"
1732344,"Eurimages [fr] - (support) (as Fonds Eurimages van de Raad van Europa)"
1732344,"European Co-production Fund [gb] - (support)"
1732344,"Fonds Film in Vlaanderen [be] - (support)"
1732344,"Investco NV - (support)"
1732344,"Meteor Film Productions [nl] - (support)"
1732344,"Nederlands Fonds voor de Film [nl] - (support)"
1732344,"Nederlandse Programma Stichting (NPS) [nl] - (presents)"
1732344,"Prime Time - (presents)"
1732344,"Stimuleringsfonds Nederlandse Culturele Omroepproducties [nl] - (support)"
1732496,"DreamWorks Animation [us]"
1732496,"DreamWorks SKG [us] - (presents)"
1732496,"Pacific Data Images (PDI) [us] - (presents) (as PDI)"
1732658,"Donners' Company [us]"
1732658,"Ixtlan [us]"
1732658,"Warner Bros. [us]"
1732858,"Fox 2000 Pictures [us]"
1732858,"Twentieth Century Fox Film Corporation [us]"
1733111,"Epic Productions [in]"
1733479,"Zoetrope Studios [us]"
1733566,"Imagine Entertainment [us]"
1733566,"Universal Pictures [us]"
1734162,"Hometown Films"
1734162,"Paramount Pictures [us] - (presents)"
1734162,"YCTM [us]"
1734321,"Bad Hat Harry Productions [us] - (producer) (as Bad Hat Harry)"
1734321,"Canal+ Droits Audiovisuels [fr] - (in association with) (as Canal+ D.A.)"
1734321,"Phoenix Pictures [us] - (presents)"
1734369,"Satyajit Ray Productions"
1734803,"Amblin Entertainment [us] - (presents)"
