movieid,country
1714481,USA
1714991,France
1714991,Spain
1715025,USA
1715186,UK
1715186,USA
1715253,USA
1715288,USA
1715380,USA
1715404,UK
1715404,USA
1715607,Canada
1715607,USA
1715793,USA
1716019,Ireland
1716019,UK
1716019,USA
1716020,USA
1716411,USA
1716452,USA
1716615,USA
1717077,USA
1717117,USA
1717144,USA
1717455,USA
1717910,USA
1718318,USA
1718342,USA
1718968,France
1718968,Italy
1719502,USA
1719614,UK
1720040,USA
1720443,France
1720443,UK
1720443,USA
1721568,USA
1721607,UK
1721607,USA
1721750,UK
1721750,USA
1721864,USA
1721888,USA
1721919,USA
1721967,USA
1722098,USA
1722164,USA
1722174,USA
1722181,USA
1722198,USA
1722327,USA
1722395,France
1722395,USA
1722617,Spain
1722761,USA
1722776,USA
1722777,Mexico
1722777,USA
1723002,UK
1723532,USA
1724000,USA
1724037,USA
1724179,USA
1724180,USA
1724190,UK
1724190,USA
1724193,France
1724193,Luxembourg
1724193,Netherlands
1724193,UK
1724193,USA
1724201,USA
1724413,UK
1724880,UK
1724880,USA
1725437,"South Korea"
1725774,Brazil
1725774,Peru
1725774,USA
1726761,Australia
1726761,USA
1726934,USA
1727017,Germany
1727082,USA
1727237,USA
1727348,USA
1727413,UK
1727885,USA
1728742,Australia
1728802,Canada
1728802,UK
1728802,USA
1728889,USA
1728948,USA
1729005,USA
1729026,Ireland
1729026,USA
1729240,UK
1729240,USA
1729260,USA
1729569,France
1729569,Germany
1729569,UK
1729569,USA
1729579,Spain
1729818,USA
1730457,UK
1730566,USA
1730640,USA
1730836,Netherlands
1730836,UK
1730836,USA
1730975,USA
1731412,USA
1731505,UK
1731582,USA
1732344,Belgium
1732344,Netherlands
1732344,UK
1732496,USA
1732658,USA
1732858,USA
1733111,India
1733479,USA
1733566,USA
1734162,USA
1734321,France
1734321,USA
1734369,India
1734803,USA
1734803,Venezuela
1735791,USA
1736211,USA
1736268,USA
1736362,USA
1736592,USA
1736794,Germany
1736794,Ireland
1736794,UK
1736794,USA
1737340,USA
1737713,France
1737713,Germany
1737713,Italy
1737766,USA
1738481,USA
1739234,France
1739234,Italy
1739234,Tunisia
1740732,USA
1740752,France
1740752,USA
1740811,USA
1741487,Canada
1741682,USA
1742509,Canada
1742509,France
1743028,USA
1743689,"West Germany"
1743852,USA
1744178,UK
1744178,USA
1744391,USA
1744809,Germany
1744809,USA
1744811,USA
1745373,UK
1745406,USA
1745530,USA
1746382,USA
1746829,USA
1747382,Cuba
1747382,"Dominican Republic"
1747494,USA
1747545,UK
1747545,USA
1747649,USA
1747899,China
1747899,"Hong Kong"
1748196,Australia
1748196,USA
1748219,Australia
1748315,USA
1748317,USA
1748754,USA
1748996,USA
1749026,USA
1749222,Iran
1749247,USA
1749438,USA
1749683,USA
1749731,USA
1749735,USA
1749737,USA
1749806,Germany
1749806,UK
1749891,USA
1750364,USA
1750424,USA
1750510,USA
1750660,USA
1750728,USA
1750816,"New Zealand"
1751059,Iran
1751071,USA
1751872,Australia
1751872,Canada
1751872,USA
1753266,USA
1753348,USA
1753400,USA
1753578,USA
1753695,USA
1753837,India
1753837,UK
1753860,France
1753860,Germany
1754754,USA
1754799,USA
1754884,France
1754884,Italy
1755112,USA
1755524,USA
1755813,Canada
1756051,Canada
1756051,USA
1756391,UK
1756391,USA
1756768,France
1756768,USA
1756902,USA
1756980,USA
1757342,UK
1757342,USA
1757347,UK
1757347,USA
1757367,UK
1757367,USA
1757378,UK
1757378,USA
1757423,USA
1757465,Spain
1757485,USA
1757698,USA
1757893,USA
1758003,USA
1758767,USA
1758856,UK
1758856,USA
1759189,Italy
1759189,UK
1759189,USA
1759448,USA
1759573,USA
1759654,UK
1759685,UK
1759736,USA
1759851,USA
1759983,USA
1760306,USA
1760386,USA
1760449,UK
1760586,Canada
1760586,France
1760586,UK
1760752,USA
1760876,Austria
1760876,Switzerland
1760876,USA
1760927,USA
1760978,France
1760978,"Republic of Macedonia"
1760978,UK
1762161,Japan
1762161,UK
1762174,USA
1762229,USA
1762644,USA
1762654,USA
1762853,France
1762853,Italy
1763019,Jamaica
1763019,USA
1763083,USA
1763465,USA
1763653,USA
1763877,USA
1763883,USA
1763910,USA
1763974,Japan
1763974,UK
1764861,Italy
1764861,UK
1765082,USA
1765108,UK
1765108,USA
1765164,USA
1765347,USA
1765652,Japan
1765652,USA
1765787,USA
1765789,USA
1765811,USA
1765827,Canada
1766407,USA
1766427,USA
1766668,UK
1766849,UK
1766849,USA
1766884,USA
1767110,USA
1767151,USA
1767537,UK
1768211,China
1768211,"Hong Kong"
1768389,Germany
1768389,USA
1768698,USA
1769145,USA
1769408,USA
1769516,UK
1769766,Germany
1769766,USA
1769840,USA
1770285,USA
1770807,USA
1771528,USA
1771672,Australia
1771673,USA
1772092,USA
1772497,Bulgaria
1772497,USA
1772500,USA
1772651,USA
1772934,Australia
1772934,France
1772934,Germany
1772934,USA
1773358,France
1773358,UK
1773358,USA
1773436,USA
1773944,UK
1773944,USA
1774349,France
1774349,Germany
1774349,Japan
1774349,UK
1774349,USA
1775245,USA
1775382,USA
1775563,UK
1775747,USA
1775854,UK
1776052,USA
1776063,"Hong Kong"
1776063,UK
1776063,USA
1776173,USA
1776338,USA
1776407,USA
1776556,USA
1776732,Germany
1776732,USA
1776893,USA
1777297,USA
1777374,Canada
1777374,USA
1777932,USA
1778025,USA
1778258,USA
1778411,UK
1778411,USA
1778413,France
1778413,Italy
1778514,USA
1778536,USA
1778697,USA
1778699,USA
1779176,USA
1779201,UK
1779201,USA
1779349,USA
1779361,USA
1779474,USA
1779528,UK
1779735,USA
1779757,Germany
1779757,USA
1779835,USA
1779868,USA
1779914,USA
1780022,USA
1780595,UK
1780595,USA
1780992,Spain
1781241,USA
1781274,USA
1781295,USA
1781303,USA
1781518,USA
1781597,USA
1781603,USA
1783029,USA
1783282,USA
1783500,USA
1783641,Australia
1783641,USA
1783685,USA
1783892,USA
1784129,USA
1784206,Finland
1784206,USA
1784275,USA
1784416,USA
1784663,Brazil
1784877,USA
1785170,USA
1785251,USA
1785265,USA
1785529,USA
1785755,USA
1786099,USA
1786124,USA
1786136,USA
1786142,USA
1786183,USA
1786236,France
1786236,USA
1786413,USA
1786566,"New Zealand"
1786921,UK
1786921,USA
1787090,USA
1787149,UK
1787428,Canada
1787511,USA
1787525,USA
1787603,USA
1787911,Denmark
1787911,France
1787911,Iceland
1787911,Netherlands
1787911,Norway
1787911,Spain
1787911,Sweden
1788154,USA
1788165,USA
1788314,USA
1788621,Canada
1788621,USA
1788624,USA
1788628,USA
1788636,USA
1788817,UK
1789015,USA
1789145,USA
1789259,USA
1789269,USA
1789511,USA
1789692,USA
1789747,USA
1789910,USA
1790007,USA
1790082,"New Zealand"
1790311,USA
1790523,USA
1790530,"Soviet Union"
1790753,UK
1790780,USA
1790984,UK
1791085,USA
1792102,USA
1792218,USA
1792281,Norway
1792349,USA
1792363,USA
1792523,Cuba
1792523,France
1792523,Germany
1792523,UK
1792523,USA
1792625,USA
1792713,USA
1793297,USA
1793433,USA
1793451,USA
1793604,USA
1794215,"Federal Republic of Yugoslavia"
1794215,France
1794215,Greece
1794215,"Republic of Macedonia"
1794215,Turkey
1794255,Canada
1794255,USA
1794772,Italy
1794772,USA
1795157,USA
1795427,USA
1795631,USA
1795698,USA
1795997,UK
1796704,USA
1796731,Belgium
1796731,France
1796731,Switzerland
1797310,France
1797310,Hungary
1797310,Switzerland
1797365,Italy
1797365,USA
1797386,Belgium
1798275,USA
1798372,USA
1798632,USA
1799339,USA
1799603,Hungary
1801311,USA
1801574,USA
1801936,UK
1801936,USA
1802055,USA
1802058,USA
1802287,Italy
1802676,USA
1802677,USA
1803115,UK
1803357,UK
1803905,France
1803905,UK
1803921,Canada
1804232,USA
1804427,France
1804427,Italy
1804484,Brazil
1804484,UK
1804630,USA
1804779,France
1804779,Spain
1804898,USA
1804923,USA
1804924,USA
1804925,USA
1804947,France
1804947,Italy
1805163,USA
1805225,USA
1805246,USA
1805273,France
1805273,UK
1805799,USA
1806151,France
1806151,USA
1806217,USA
1806794,USA
1806845,USA
1806896,USA
1806914,USA
1806940,Canada
1807303,USA
1807444,USA
1807562,USA
1807604,USA
1807863,USA
1808298,France
1808298,USA
1808524,USA
1808813,USA
1809047,USA
1809149,Brazil
1809149,France
1809197,UK
1809431,Argentina
1809431,Canada
1809431,France
1809431,Germany
1809431,Italy
1809724,France
1809864,France
1809984,USA
1809998,USA
1810092,USA
1810470,UK
1811382,"Hong Kong"
1811626,USA
1811722,UK
1812202,USA
1812255,USA
1812339,Austria
1812450,USA
1812490,USA
1813663,USA
1815267,UK
1815901,USA
1815914,USA
1815915,UK
1815915,USA
1816153,USA
1816171,USA
1816175,USA
1816176,USA
1816182,UK
1816238,Australia
1816379,USA
1816691,USA
1816742,France
1816742,Japan
1816742,USA
1817535,USA
1817898,USA
1818342,USA
1818562,USA
1819155,USA
1819411,"Hong Kong"
1819870,Japan
1820147,Poland
1820288,USA
1820400,USA
1821008,Ireland
1821008,UK
1821008,USA
1821229,UK
1821229,USA
1821599,USA
1821619,USA
1821739,USA
1821769,USA
1821807,USA
1821852,Germany
1821852,USA
1821917,USA
1822415,USA
1822607,USA
1822639,USA
1822675,USA
1823008,Germany
1823008,USA
1823101,USA
1823223,USA
1823361,USA
1823486,France
1823486,Italy
1823486,USA
1823740,USA
1823753,UK
1823753,USA
1823865,USA
1824605,USA
1824615,USA
1824623,USA
1824685,France
1824685,Italy
1824923,USA
1824929,USA
1825343,USA
1825348,USA
1826286,USA
1826962,USA
1827008,USA
1827432,USA
1827800,USA
1828055,Austria
1828055,Germany
1828413,USA
1828447,USA
1828716,USA
1829030,USA
1829152,USA
1829153,UK
1829153,USA
1829283,Mexico
1829882,USA
1830096,USA
1830116,Germany
1830116,USA
1830497,Finland
1830497,Germany
1830497,USA
1830509,USA
1830531,UK
1830564,USA
1831084,USA
1831363,USA
1831593,USA
1831790,USA
1831904,France
1832668,USA
1832720,USA
1832832,USA
1832852,USA
1832872,USA
1832956,USA
1833143,USA
1833175,USA
1833995,USA
1834154,Argentina
1834266,Australia
1834423,Spain
1834632,France
1834632,UK
1834632,USA
1835117,USA
1835175,Australia
1835296,France
1835442,USA
1835618,UK
1835618,USA
1836147,USA
1836375,USA
1836516,Canada
1836516,UK
1836984,Germany
1836984,USA
1837319,USA
1837323,UK
1837340,USA
1837467,USA
1837469,USA
1837764,USA
1837962,USA
1837991,USA
1838092,USA
1838160,USA
1838360,Australia
1838360,USA
1838411,Austria
1838411,"Federal Republic of Yugoslavia"
1838411,France
1838411,Germany
1838411,Greece
1838411,USA
1838481,Australia
1838568,Mexico
1838619,USA
1838773,UK
1838773,"West Germany"
1838850,USA
1839137,France
1839137,Germany
1839137,Ireland
1839137,UK
1839311,USA
1839442,USA
1839754,"South Africa"
1839754,USA
1840524,Canada
1840882,USA
1841896,USA
1842301,Canada
1842580,USA
1842584,France
1842584,Germany
1842584,Italy
1842584,USA
1843039,France
1843756,USA
1843757,USA
1844312,China
1844312,"Hong Kong"
1844312,Taiwan
1844854,USA
1844997,USA
1845075,Belgium
1845075,France
1845075,Netherlands
1846390,USA
1846990,USA
1847035,USA
1847048,Argentina
1847048,Denmark
1847048,Finland
1847048,France
1847048,Germany
1847048,Iceland
1847048,Italy
1847048,Netherlands
1847048,Norway
1847048,Spain
1847048,Sweden
1847048,UK
1847048,USA
1847051,USA
1847080,UK
1847080,USA
1847235,Ireland
1847235,UK
1847235,USA
1847595,USA
1847692,Italy
1847692,USA
1847699,"South Africa"
1847699,USA
1847722,UK
1847722,USA
1847739,USA
1848628,USA
1848859,USA
1849147,Australia
1849147,USA
1849156,USA
1850182,"West Germany"
1851750,Germany
1851871,France
1851871,Germany
1851871,Switzerland
1852854,USA
1852976,USA
1853052,UK
1853052,USA
1853104,USA
1853531,USA
1854045,USA
1854142,USA
1854166,USA
1854233,USA
1854918,Argentina
1854918,Italy
1856252,USA
1856325,Australia
1856595,Germany
1856595,Japan
1856595,USA
1856608,UK
1856608,USA
1856613,USA
1856672,USA
1856727,USA
1856731,USA
1856763,Canada
1856763,USA
1856939,USA
1857326,USA
1857496,USA
1857769,USA
1857796,USA
1858038,USA
1858357,USA
1858361,USA
1858362,USA
1858363,USA
1858364,Canada
1858364,USA
1858396,France
1858396,UK
1858396,USA
1858463,Australia
1859092,USA
1859351,USA
1859542,Australia
1859542,USA
1859617,USA
1859753,Canada
1859753,USA
1860181,USA
1860327,USA
1860806,France
1861004,USA
1861112,France
1861112,Germany
1861112,Italy
1861202,USA
1861514,USA
1862412,USA
1864055,France
1864055,"West Germany"
1864846,France
1864846,Italy
1864846,"West Germany"
1866000,France
1866000,Germany
1866000,UK
1866391,Germany
1866400,Germany
1867752,"Soviet Union"
1868310,USA
1868312,USA
1868452,USA
1868890,USA
1869010,USA
1869092,USA
1869304,USA
1869461,USA
1869771,Sweden
1870038,France
1870038,USA
1870132,USA
1870151,USA
1870221,USA
1870751,UK
1870798,USA
1871727,USA
1871833,USA
1872091,Germany
1872091,USA
1872587,Canada
1872587,France
1872587,USA
1872662,USA
1873263,France
1873263,Poland
1873263,"West Germany"
1873263,Yugoslavia
1874279,USA
1874284,USA
1874295,USA
1875013,Belgium
1875013,France
1875013,Germany
1875013,UK
1875764,Germany
1875764,Switzerland
1875962,Austria
1875962,Germany
1876090,Germany
1878227,Germany
1878537,France
1878537,UK
1878658,USA
1878669,Japan
1878669,USA
1879298,USA
1879358,Australia
1879358,France
1879599,USA
1879793,"Hong Kong"
1880202,USA
1880648,Canada
1880648,USA
1880846,USA
1881802,Australia
1881802,Canada
1881802,USA
1881868,France
1883153,USA
1883527,USA
1883528,USA
1883660,Italy
1883660,USA
1883995,USA
1884087,Canada
1884087,USA
1884286,USA
1885039,USA
1885177,Italy
1885177,UK
1885177,Yugoslavia
1885734,USA
1886005,USA
1886830,China
1887066,USA
1888102,Mexico
1888780,Canada
1888811,USA
1888823,Canada
1888823,Germany
1888823,USA
1889009,USA
1889253,USA
1889491,USA
1889579,USA
1889579,"West Germany"
1889621,USA
1889788,USA
1889850,UK
1890357,UK
1890437,UK
1890437,USA
1890515,USA
1890516,UK
1890522,USA
1890588,France
1890588,USA
1890829,USA
1891484,USA
1891605,USA
1891649,USA
1891803,UK
1891803,USA
1892010,USA
1892794,USA
1892991,USA
1893207,UK
1893207,USA
1893210,Germany
1893210,USA
1893245,USA
1893343,USA
1893483,USA
1893657,USA
1894338,USA
1894453,USA
1894619,USA
1894753,USA
1895102,USA
1895159,USA
1895286,USA
1895298,"Hong Kong"
1895298,Taiwan
1895425,USA
1895463,"Hong Kong"
1896345,USA
1896980,USA
1897539,France
1897539,Italy
1897778,USA
1898323,USA
1898372,USA
1898449,UK
1898539,USA
1898779,USA
1898814,USA
1898834,UK
1898971,USA
1899474,Germany
1899694,USA
1899730,USA
1899741,USA
1899769,USA
1899880,France
1900069,USA
1900319,USA
1900465,USA
1901554,USA
1903954,Mexico
1904083,Israel
1904548,Spain
1904704,Spain
1906242,Spain
1907821,USA
1910848,USA
1911817,UK
1912439,UK
1913354,UK
1913354,USA
1913703,USA
1914108,France
1914192,France
1915247,UK
1915291,USA
1915498,USA
1915861,Germany
1915861,UK
1915861,USA
1915987,USA
1916996,USA
1917129,Germany
1917129,UK
1917129,USA
1918307,USA
1918312,USA
1918615,USA
1919846,USA
1919853,UK
1919853,USA
1919898,USA
1919947,USA
1920973,Bulgaria
1920973,France
1920973,Russia
1920973,Spain
1920973,Ukraine
1921463,France
1921463,Italy
1922080,Israel
1922571,USA
1923001,USA
1923072,USA
1923165,UK
1923165,USA
1923244,USA
1923287,USA
1923531,Australia
1923821,USA
1923955,USA
1923981,USA
1924384,USA
1924700,UK
1924700,USA
1924755,USA
1924959,USA
1925337,USA
1925449,USA
1925477,Canada
1925610,UK
1926507,USA
1926668,USA
1926854,USA
1926866,Australia
1926866,Canada
1926866,UK
1927003,UK
1927003,USA
1927021,USA
1927338,USA
1927339,USA
1927950,USA
1928004,USA
1928609,USA
1928755,UK
1928755,USA
1928940,USA
1929146,Sweden
1929151,USA
1929205,USA
1929262,USA
1929431,France
1929431,UK
1929431,USA
1929514,USA
1930227,USA
1930572,USA
1930730,France
1930730,Sweden
1930730,"West Germany"
1930793,USA
1930810,USA
1930942,USA
1931213,USA
1931235,USA
1931489,UK
1931489,USA
1931497,Belgium
1931497,France
1931497,Italy
1931607,USA
1932160,USA
1932207,USA
1932235,USA
1932389,USA
1932393,Japan
1932393,USA
1932451,USA
1932817,USA
1932819,USA
1932958,USA
1933191,"Czech Republic"
1933191,France
1933191,UK
1933254,France
1933459,USA
1933552,USA
1933599,UK
1933599,USA
1933633,USA
1933702,UK
1933702,USA
1933830,USA
1934075,USA
1934260,"Hong Kong"
1934406,Canada
1934406,UK
1934787,Germany
1934787,USA
1935106,China
1935106,"Hong Kong"
1935417,USA
1935619,Denmark
1935619,Sweden
1936069,UK
1936394,USA
1936478,UK
1936478,USA
1936800,Germany
1936800,USA
1938005,France
1938142,Canada
1938142,USA
1938743,USA
1939369,USA
1939525,USA
1939666,UK
1939666,USA
1939754,USA
1939762,USA
1939775,USA
1939900,USA
1940096,USA
1940121,USA
1940174,USA
1941011,Peru
1941011,"West Germany"
1941100,USA
1941271,USA
1941902,USA
1942017,USA
1942058,USA
1942083,USA
1942223,USA
1942296,USA
1942299,USA
1942625,Norway
1942625,USA
1942758,USA
1942787,Germany
1942787,Japan
1942787,USA
1942828,USA
1942898,USA
1943470,USA
1943586,USA
1943718,USA
1943961,USA
1944457,USA
1944510,UK
1944862,USA
1944905,USA
1945150,USA
1945248,USA
1945371,France
1945371,Switzerland
1945579,USA
1945589,USA
1945700,USA
1945816,USA
1945855,UK
1946023,USA
1946107,Canada
1946327,USA
1946379,UK
1946379,USA
1946397,USA
1946463,USA
1946562,USA
1946595,France
1946595,Italy
1946595,Netherlands
1946595,UK
1946595,USA
1946833,USA
1946963,USA
1947355,USA
1948277,USA
1948340,UK
1948561,USA
1949144,USA
1949444,USA
1949502,USA
1949508,Japan
1949508,USA
1949526,USA
1949624,France
1949624,Ireland
1949624,UK
1949624,USA
1950286,USA
1950466,USA
1950577,USA
1950688,France
1950688,USA
1950689,France
1950689,USA
1950690,USA
1950946,USA
1951003,USA
1951279,UK
1951279,USA
1951390,UK
1951397,USA
1951417,Cuba
1951417,Mexico
1951417,Spain
1951417,USA
1951428,France
1951428,USA
1951931,USA
1951984,USA
1951988,USA
1951989,USA
1951990,USA
1951991,Canada
1951991,USA
1951993,USA
1952001,USA
1952054,USA
1952201,USA
1952386,USA
1952391,USA
1952490,USA
1952676,USA
1952847,USA
1952923,USA
1953106,UK
1953354,USA
1953362,USA
1955153,UK
1955153,USA
1955207,USA
1955231,USA
1955340,USA
1955728,UK
1955728,USA
1955747,USA
1955750,USA
1957176,USA
1957184,USA
1957472,France
1957472,Iran
1958267,USA
1959117,India
1959117,UK
1959300,USA
1960531,USA
1960768,USA
1961185,France
1962315,Germany
1962315,USA
1963038,USA
1963417,USA
1963479,France
1963479,USA
1963756,Belgium
1963756,France
1963756,Italy
1963794,USA
1964069,USA
1964073,UK
1964074,USA
1964200,USA
1964209,UK
1964242,USA
1964339,USA
1964467,UK
1964467,USA
1964503,USA
1965214,USA
1965236,USA
1965261,France
1965261,Germany
1965261,Japan
1965261,USA
1965516,USA
1965632,USA
1965850,USA
1966241,USA
1966349,USA
1966580,"Hong Kong"
1966580,USA
1966583,"Hong Kong"
1967074,USA
1967290,USA
1967379,Germany
1967379,USA
1967389,USA
1967955,USA
1968813,UK
1968813,USA
1969187,USA
1969197,USA
1969753,USA
1969851,USA
1969868,USA
1970159,USA
1970215,USA
1970300,UK
1970338,USA
1970505,USA
1970696,USA
1970861,USA
1971093,UK
1971093,USA
1971149,Japan
1971149,USA
1971464,USA
1971706,Japan
1971707,Japan
1971712,Japan
1971929,Canada
1971929,USA
1972108,USA
1972287,UK
1972287,USA
1972324,UK
1972807,USA
1972854,USA
1972884,USA
1973432,USA
1973625,USA
1973808,Germany
1973808,USA
1973922,USA
1974272,USA
1974519,Canada
1974519,Croatia
1974519,USA
1974583,USA
1974724,UK
1974984,Italy
1974984,Spain
1975181,USA
1975609,USA
1975664,USA
1976109,USA
1976319,UK
1976454,Japan
1976454,USA
1976610,USA
1976612,USA
1976643,USA
1976777,USA
1977589,USA
1977592,USA
1977857,USA
1978263,USA
1978309,USA
1978312,France
1978415,USA
1978778,USA
1978782,USA
1979111,Cuba
1979111,Germany
1979111,Spain
1979164,USA
1979447,USA
1979839,USA
1979883,USA
1980073,USA
1980149,USA
1980267,USA
1980412,USA
1981072,Germany
1981072,UK
1981072,USA
1981170,USA
1981506,USA
1982133,USA
1982903,USA
1983455,USA
1983617,"Hong Kong"
1983859,USA
1984278,USA
1984283,USA
1984284,USA
1984305,USA
1984320,USA
1984323,USA
1984372,USA
1984593,Italy
1984593,Spain
1984593,Turkey
1984751,France
1984763,UK
1984785,France
1984785,UK
1984785,USA
1984792,UK
1984792,USA
1984793,USA
1985138,Japan
1985443,USA
1985576,USA
1985642,USA
1985755,Germany
1985755,USA
1985793,USA
1986482,USA
1986845,USA
1986848,UK
1987088,Germany
1987126,USA
1987387,Canada
1987547,Denmark
1987547,France
1987547,Germany
1987547,Japan
1987547,"New Zealand"
1987547,UK
1987547,USA
1987607,USA
1988142,Italy
1988380,USA
1988448,USA
1988626,USA
1988834,USA
1988919,USA
1989616,USA
1989826,USA
1990705,USA
1990862,USA
1991064,USA
1991115,Australia
1991269,USA
1991544,Ireland
1991544,UK
1991646,USA
1991707,USA
1991951,USA
1991969,USA
1992100,USA
1992217,USA
1992315,USA
1992335,France
1992335,USA
1992344,"New Zealand"
1992344,USA
1992374,USA
1992459,Australia
1992478,UK
1992478,USA
1992502,Germany
1992502,"New Zealand"
1992538,USA
1992600,Canada
1992682,USA
1992774,UK
1993553,USA
1993850,USA
1993913,USA
1994073,UK
1994073,USA
1994279,Canada
1994414,UK
1994418,Canada
1994418,USA
1994419,USA
1994580,UK
1995071,USA
1995121,UK
1995178,USA
1995179,USA
1996222,USA
1996223,USA
1996227,USA
1996275,USA
1996365,USA
1996544,USA
1996888,India
1998427,USA
1998849,USA
1998864,France
1998864,UK
1999026,USA
1999095,UK
1999095,USA
1999210,USA
1999241,USA
1999308,USA
1999581,USA
1999623,UK
1999628,Canada
1999628,France
1999628,UK
1999634,USA
1999986,UK
2000130,USA
2001271,USA
2002121,France
2002121,Italy
2002500,USA
2003554,USA
2003869,Hungary
2004240,USA
2004435,Germany
2004435,USA
2004444,Germany
2004444,Spain
2004444,UK
2005166,USA
2005202,Australia
2005202,USA
2005242,USA
2005280,Argentina
2005459,USA
2005467,USA
2005469,USA
2005550,USA
2005656,Germany
2005656,USA
2005831,USA
2006016,USA
2006320,USA
2006322,USA
2006660,USA
2006702,USA
2006796,USA
2006907,China
2006992,Germany
2007256,USA
2007295,Belgium
2007295,Netherlands
2007295,USA
2007305,USA
2007465,USA
2007522,UK
2007522,USA
2007673,USA
2008297,Spain
2008297,UK
2009281,USA
2009507,USA
2010080,Australia
2010339,USA
2010351,USA
2010417,USA
2010432,USA
2010439,USA
2010442,USA
2010567,USA
2010591,USA
2010811,USA
2010812,USA
2010861,USA
2011220,USA
2011327,UK
2011538,USA
2011835,USA
2012189,USA
2012308,USA
2012468,USA
2012474,Japan
2012474,UK
2012514,UK
2012514,USA
2013009,"Hong Kong"
2013180,USA
2013370,USA
2013847,Ireland
2013847,UK
2014240,Canada
2014240,"Hong Kong"
2014741,China
2014741,"Hong Kong"
2014806,USA
2014847,USA
2014992,USA
2015145,Canada
2015145,Germany
2015664,USA
2016321,France
2016321,Sweden
2016321,"West Germany"
2016990,USA
2017211,USA
2017357,USA
2017615,USA
2017696,USA
2018026,USA
2018109,USA
2018119,France
2018119,Germany
2018119,UK
2018119,USA
2018220,USA
2018491,USA
2018562,UK
2018562,USA
2018570,USA
2018634,USA
2019104,Ireland
2019104,UK
2019104,USA
2019186,USA
2019328,Italy
2019451,Italy
2020617,France
2020617,Italy
2020617,UK
2020780,Canada
2020780,USA
2020812,USA
2020856,UK
2021095,USA
2021329,USA
2021560,USA
2023079,France
2023079,Italy
2023205,Denmark
2023205,France
2023205,Italy
2023205,Netherlands
2023205,Spain
2023205,Sweden
2023228,USA
2023565,USA
2023785,UK
2024562,Italy
2024833,Italy
2024833,Spain
2024833,"West Germany"
2025172,France
2025172,Italy
2025172,"West Germany"
2025742,Italy
2025742,"West Germany"
2026315,France
2026315,Italy
2026671,Italy
2027057,Italy
2027057,Spain
2027469,Italy
2027949,USA
2028072,USA
2028079,Japan
2028079,Spain
2028079,USA
2028238,USA
2028238,"West Germany"
2029309,UK
2029309,USA
2029381,USA
2029975,USA
2030303,USA
2030427,USA
2030641,USA
2030843,USA
2031233,USA
2031463,USA
2032104,USA
2032173,UK
2032270,Canada
2032270,USA
